ApplicationID,StageName,ReviewedDate,ReviewedBy,ActionTaken
42,Initial Review,2025-06-26,Mahinda Pathirana,Hold
43,Medical Check,2025-07-17,Yasara Thangavelu,Hold
44,Interview,2025-06-23,Saisha Perera,Rejected
45,Visa Processing,2025-01-02,Tharushi Ponnambalam,Pending
46,Medical Check,2025-02-11,Aloka Bandara,Approved
46,Initial Review,2024-02-11,Chamara Balasuriya,Hold
47,Visa Processing,2024-07-06,Vimukthi Herath,Approved
47,Initial Review,2025-01-02,Kapila Gamage,Approved
47,Medical Check,2025-04-18,Tilak Jayawardena,Hold
48,Medical Check,2024-12-18,Nadeeka Dissanayake,Rejected
49,Initial Review,2025-04-26,Vimukthi Cooray,Rejected
49,Visa Processing,2024-08-08,Harsha Fonseka,Approved
50,Medical Check,2025-07-30,Lahiru Fernando,Hold
50,Interview,2024-09-26,Kapila Rizvi,Pending
50,Initial Review,2024-08-26,Rashmi Pathirana,Approved
51,Medical Check,2025-01-07,Ruwini Edirisinghe,Pending
51,Final Approval,2025-02-13,Wasantha Dissanayake,Rejected
52,Final Approval,2025-05-13,Yasith Hewage,Rejected
52,Medical Check,2025-04-14,Soha Ranaweera,Approved
53,Final Approval,2025-07-12,Zameer Rizvi,Rejected
53,Medical Check,2024-12-18,Tharushi Ponnambalam,Rejected
53,Visa Processing,2025-06-28,Ibrahim Bandara,Approved
54,Visa Processing,2025-08-02,Jayani Weerasinghe,Pending
54,Medical Check,2025-08-16,Prabha Uthayakumar,Hold
54,Interview,2025-08-14,Tilak Kulathunga,Pending
55,Medical Check,2025-05-08,Upeksha Thangavelu,Rejected
56,Interview,2025-07-28,Saisha Gunawardena,Pending
56,Initial Review,2025-07-21,Pasindu Vigneswaran,Hold
56,Medical Check,2025-07-28,Nishani Kulathunga,Hold
57,Medical Check,2024-11-22,Lalith Gamage,Approved
58,Interview,2025-06-03,Nishani Fonseka,Rejected
58,Final Approval,2025-03-30,Oshan Udayanga,Hold
58,Visa Processing,2025-05-04,Mahinda Hewage,Rejected
59,Final Approval,2025-08-02,Adeesha Cooray,Hold
59,Interview,2025-05-21,Kalani Jayaweera,Approved
60,Visa Processing,2025-06-06,Nuwan Opatha,Hold
60,Medical Check,2025-07-26,Mahinda Wickramasinghe,Rejected
61,Interview,2025-05-25,Ranjith Nanayakkara,Approved
62,Final Approval,2024-01-24,Erandika Ilangakoon,Hold
63,Final Approval,2024-01-24,Oshan Dissanayake,Approved
63,Medical Check,2024-08-03,Mahesh Weerakoon,Hold
64,Medical Check,2025-01-02,Chaminda Fonseka,Rejected
64,Final Approval,2024-09-21,Vimukthi Weerakoon,Rejected
64,Interview,2024-10-25,Buddhika Basnayake,Pending
65,Visa Processing,2024-10-01,Oshini Udayanga,Hold
65,Initial Review,2025-08-06,Eshini Herath,Rejected
65,Interview,2024-11-10,Ahmed Zoysa,Rejected
66,Final Approval,2025-05-08,Oshan Yapa,Rejected
66,Medical Check,2025-07-24,Yashodha Udayanga,Rejected
67,Interview,2025-02-16,Nalaka Jaleel,Pending
67,Final Approval,2025-03-22,Shashika Gunawardena,Approved
68,Visa Processing,2024-09-23,Ahmed Yapa,Approved
69,Initial Review,2025-08-17,Yasith Jayaweera,Hold
70,Final Approval,2025-08-18,Wasantha Wickramasinghe,Hold
70,Visa Processing,2025-08-13,Madhavi Perera,Pending
71,Interview,2024-12-23,Akila Ekanayake,Pending
72,Medical Check,2025-05-31,Udaya Kulathunga,Hold
72,Final Approval,2025-08-17,Hansika Ekanayake,Pending
73,Medical Check,2025-05-29,Sanjaya Karunaratne,Approved
73,Visa Processing,2024-09-20,Nimal Abeysinghe,Hold
74,Interview,2025-08-11,Dinesh Fernando,Approved
74,Initial Review,2025-06-10,Yashodha Kodithuwakku,Hold
74,Medical Check,2025-07-30,Jagath Fonseka,Hold
75,Visa Processing,2024-06-26,Sunil Quintus,Approved
75,Interview,2023-11-06,Ayesha Gamage,Hold
76,Final Approval,2025-08-12,Buddhini Hettiarachchi,Rejected
76,Interview,2025-08-14,Jagath Amarasinghe,Approved
76,Initial Review,2025-08-18,Bandula Nadarajah,Rejected
77,Medical Check,2025-01-09,Ruwini Amarasinghe,Pending
78,Final Approval,2025-01-28,Janani Ponnambalam,Pending
78,Initial Review,2025-05-28,Eshika Wijesinghe,Rejected
79,Interview,2025-08-16,Isuru Ibrahim,Rejected
79,Visa Processing,2025-08-17,Jayani Ilangakoon,Rejected
80,Interview,2024-08-13,Wasanthi Ranaweera,Rejected
81,Final Approval,2025-06-29,Gamini Vithanage,Pending
82,Initial Review,2025-07-31,Nadeesha Munasinghe,Rejected
83,Visa Processing,2025-05-09,Ibrahim Kodithuwakku,Approved
84,Interview,2025-08-15,Yohan Fonseka,Hold
84,Initial Review,2025-08-15,Dayan Ilangakoon,Rejected
85,Initial Review,2025-02-01,Bhagya Weerakoon,Rejected
86,Final Approval,2025-05-27,Queenie Abeysinghe,Rejected
86,Initial Review,2025-06-24,Inoka Opatha,Hold
86,Visa Processing,2025-05-04,Sashika Jaleel,Rejected
87,Initial Review,2024-09-25,Sanduni Balasuriya,Rejected
87,Final Approval,2025-05-11,Ruwan Samarasinghe,Pending
88,Medical Check,2025-08-03,Yashodha Dharmasena,Rejected
88,Initial Review,2025-08-08,Soha Galappaththi,Rejected
89,Visa Processing,2025-07-09,Tharaka Jayawardena,Pending
89,Interview,2025-08-13,Asanka Abeysinghe,Pending
89,Initial Review,2025-06-03,Yasith Karunaratne,Rejected
90,Medical Check,2025-08-10,Yasara Ponnambalam,Hold
90,Interview,2025-07-24,Zahran Vigneswaran,Approved
90,Initial Review,2025-07-08,Ajith Ibrahim,Pending
91,Interview,2025-08-05,Jayantha Chandrasekara,Hold
91,Visa Processing,2025-08-05,Indrani Quintus,Approved
92,Visa Processing,2025-05-18,Vimukthi Nanayakkara,Hold
92,Initial Review,2025-07-21,Soha Herath,Pending
93,Interview,2025-03-29,Shashika Uthayakumar,Hold
93,Initial Review,2025-04-29,Hiba Edirisinghe,Approved
93,Visa Processing,2025-02-11,Tharushi Basnayake,Rejected
94,Medical Check,2025-08-13,Anne Liyanage,Hold
94,Interview,2025-03-20,Yohan Hewage,Pending
94,Initial Review,2025-08-07,Nirosha Udayanga,Approved
95,Initial Review,2025-05-27,Nadeeka Cooray,Rejected
95,Medical Check,2024-10-20,Kanchana Thilakarathna,Hold
96,Medical Check,2025-06-04,Kalani Uthayakumar,Hold
96,Final Approval,2025-04-07,Eshini Galappaththi,Rejected
96,Visa Processing,2025-08-08,Vishaka Vigneswaran,Approved
97,Final Approval,2024-07-05,Asanga Uthayakumar,Approved
97,Interview,2024-12-19,Vijitha Dissanayake,Approved
98,Initial Review,2025-07-26,Pavithra Karunaratne,Hold
98,Interview,2025-08-07,Ishani Edirisinghe,Hold
99,Final Approval,2025-07-17,Shey Zoysa,Rejected
100,Visa Processing,2025-05-22,Ruwan Thangavelu,Rejected
100,Medical Check,2025-04-29,Wasantha Jayawardena,Approved
100,Final Approval,2025-01-15,Harsha Madugalle,Approved
101,Final Approval,2024-01-21,Viraj Jayaweera,Approved
101,Medical Check,2024-07-21,Lahiru Edirisinghe,Approved
102,Medical Check,2025-03-27,Gayani Yapa,Hold
102,Final Approval,2025-03-04,Gayani Balasuriya,Approved
103,Medical Check,2024-10-04,Fathima Yogarajah,Rejected
103,Initial Review,2025-06-11,Janaka Nanayakkara,Pending
104,Interview,2025-01-09,Upul Vigneswaran,Pending
104,Final Approval,2024-06-08,Dayan Dissanayake,Rejected
105,Interview,2024-11-06,Saman Perera,Hold
105,Medical Check,2024-12-31,Prasad Ibrahim,Hold
106,Initial Review,2025-06-20,Janaka Dias,Approved
107,Interview,2024-11-03,Erandika Zoysa,Hold
107,Initial Review,2025-01-07,Soha Gamage,Rejected
107,Final Approval,2023-12-29,Gayan Galappaththi,Hold
108,Interview,2025-03-04,Zameer Chandrasekara,Approved
108,Visa Processing,2025-07-29,Eranga de Silva,Pending
109,Visa Processing,2025-07-22,Nethmi Udayanga,Pending
110,Medical Check,2025-02-20,Eranga Perera,Rejected
111,Interview,2024-10-19,Sanjaya Abeysinghe,Pending
112,Medical Check,2024-09-12,Vimukthi Samarasinghe,Hold
113,Interview,2025-02-23,Bhagya Samarasinghe,Rejected
113,Medical Check,2024-07-22,Indrani Cooray,Approved
114,Initial Review,2025-06-17,Jagath Yapa,Pending
115,Initial Review,2025-01-12,Duminda Karunaratne,Approved
116,Final Approval,2025-06-02,Pavithra Obeysekera,Rejected
117,Initial Review,2025-07-08,Pradeep Weerasinghe,Hold
117,Medical Check,2024-11-27,Isuri de Silva,Approved
117,Interview,2025-04-21,Zahran Pathirana,Pending
118,Visa Processing,2025-06-10,Shey Kodithuwakku,Pending
118,Final Approval,2025-07-17,Mohamed Quintus,Approved
118,Interview,2025-06-26,Ibrahim Galappaththi,Rejected
119,Medical Check,2025-05-11,Aloka Gamage,Rejected
119,Interview,2025-03-07,Kapila Rajapaksa,Approved
120,Medical Check,2024-09-15,Harsha Karunaratne,Approved
121,Interview,2024-11-11,Hansika Yapa,Approved
121,Visa Processing,2024-08-23,Nethmi Nanayakkara,Pending
122,Medical Check,2024-11-23,Gamini Xavier,Hold
122,Interview,2025-07-22,Wathsala Rajapaksa,Approved
123,Initial Review,2023-11-14,Ahmed Lokuhetti,Approved
124,Final Approval,2024-08-05,Chaminda Jayaweera,Hold
124,Visa Processing,2025-01-27,Upeksha Nanayakkara,Rejected
125,Visa Processing,2025-03-26,Buddhika Liyanage,Rejected
126,Visa Processing,2025-05-25,Achini Basnayake,Hold
127,Visa Processing,2024-12-11,Ayesha Abeysinghe,Rejected
127,Medical Check,2024-12-11,Sampath Peiris,Pending
128,Interview,2024-12-28,Ranil Nadarajah,Approved
128,Visa Processing,2025-07-30,Kamal Hettiarachchi,Pending
128,Medical Check,2024-12-11,Kalani Rizvi,Approved
129,Medical Check,2025-08-03,Tharaka Perera,Approved
129,Initial Review,2025-07-27,Sanjaya Ilangakoon,Rejected
130,Interview,2025-06-12,Prabha Vithanage,Approved
130,Medical Check,2024-09-14,Thilina Amarasinghe,Hold
131,Medical Check,2025-06-30,Lahiru Hewage,Pending
132,Initial Review,2025-06-20,Tharushi Edirisinghe,Approved
132,Visa Processing,2025-01-27,Jayantha Obeysekera,Rejected
133,Medical Check,2024-02-27,Hansika Chandrasekara,Approved
133,Interview,2024-03-19,Janaka Samarasinghe,Rejected
134,Initial Review,2025-07-26,Eshini Thilakarathna,Approved
134,Medical Check,2025-08-12,Nimal Dias,Rejected
135,Initial Review,2024-05-10,Lalith Fonseka,Pending
136,Initial Review,2025-03-30,Rashmi Kodithuwakku,Rejected
136,Final Approval,2024-12-21,Nadeesha Obeysekera,Approved
136,Visa Processing,2024-08-16,Wasantha Herath,Pending
137,Interview,2025-08-03,Sana Sivapragasam,Pending
137,Initial Review,2025-06-12,Priyantha Fonseka,Pending
138,Initial Review,2025-08-02,Suranga Fernando,Rejected
138,Medical Check,2025-07-18,Oshini Ponnambalam,Rejected
139,Final Approval,2025-07-05,Yashodha Nadarajah,Pending
139,Visa Processing,2025-04-02,Chathurika Hettiarachchi,Hold
140,Visa Processing,2025-01-19,Hansika Ekanayake,Approved
140,Initial Review,2025-02-11,Oshadi Madugalle,Pending
140,Final Approval,2025-04-06,Buddhini Opatha,Approved
141,Visa Processing,2024-12-18,Buddhika Jayawardena,Approved
141,Initial Review,2025-06-06,Yasara Quintus,Rejected
141,Interview,2025-07-08,Oshan Liyanage,Hold
142,Initial Review,2025-04-13,Priyantha Cooray,Approved
142,Visa Processing,2025-08-04,Thushari Jayawardena,Pending
142,Medical Check,2025-06-19,Ishani Chandrasekara,Hold
143,Final Approval,2025-03-10,Anne Sivapragasam,Hold
143,Initial Review,2025-07-08,Ayesha Nanayakkara,Approved
143,Interview,2025-05-24,Saisha Jaleel,Rejected
144,Interview,2025-05-23,Pradeep Xavier,Pending
144,Visa Processing,2025-05-13,Pasindu Thilakarathna,Hold
144,Initial Review,2024-08-15,Nadeeka Alwis,Pending
145,Initial Review,2025-03-24,Hemantha Peiris,Rejected
145,Visa Processing,2025-06-28,Eshika Fonseka,Hold
145,Interview,2025-05-14,Deepthi Udayanga,Pending
146,Initial Review,2023-10-08,Menaka Dharmasena,Pending
147,Initial Review,2025-07-05,Sanjaya Rizvi,Pending
148,Interview,2025-07-15,Harshani Perera,Hold
148,Visa Processing,2025-03-30,Kalani Yapa,Pending
148,Final Approval,2025-05-14,Ranjith Chandrasekara,Hold
149,Interview,2025-05-05,Shey Yogarajah,Hold
149,Initial Review,2025-04-20,Hemantha Weerasinghe,Rejected
150,Interview,2025-01-04,Kasun Karunaratne,Hold
150,Final Approval,2025-07-27,Vimukthi Sivapragasam,Hold
150,Initial Review,2025-08-10,Indrani Cooray,Approved
151,Interview,2025-02-09,Zameer Nanayakkara,Rejected
151,Medical Check,2025-02-01,Eshini Guneratne,Pending
151,Initial Review,2025-03-15,Yasith de Silva,Rejected
152,Visa Processing,2023-12-04,Inoka Senanayake,Rejected
152,Final Approval,2025-07-16,Shey Ratnayake,Pending
153,Medical Check,2024-08-22,Menaka Zuhair,Hold
153,Interview,2024-11-21,Ruwan Sivapragasam,Pending
154,Final Approval,2025-07-10,Nethmi Herath,Approved
154,Medical Check,2025-06-25,Eshika Opatha,Approved
155,Initial Review,2025-06-29,Madushika Jayawardena,Approved
155,Visa Processing,2025-03-13,Aloka Herath,Approved
155,Medical Check,2025-07-14,Fazil Ilangakoon,Rejected
156,Final Approval,2025-05-22,Soha Hewage,Pending
156,Medical Check,2024-04-24,Nimal Dharmasena,Rejected
157,Final Approval,2025-05-09,Saman Udayanga,Approved
157,Interview,2025-04-22,Sanjaya Balasuriya,Hold
157,Initial Review,2025-02-20,Abhaya Rizvi,Pending
158,Initial Review,2024-03-08,Udaya Ranaweera,Rejected
158,Interview,2024-12-13,Janaka Hewage,Hold
159,Medical Check,2024-12-16,Lalith Wickramasinghe,Rejected
160,Interview,2025-04-03,Dilani Wijesinghe,Approved
160,Visa Processing,2025-05-31,Inoka Liyanage,Rejected
160,Medical Check,2024-11-25,Anura Ibrahim,Pending
161,Interview,2025-07-16,Ibrahim Ibrahim,Rejected
161,Final Approval,2025-08-05,Ranjith de Silva,Hold
161,Medical Check,2025-08-17,Asanka Xavier,Hold
162,Interview,2025-06-18,Tharushi Nanayakkara,Approved
162,Final Approval,2024-06-25,Sunil Alwis,Hold
162,Medical Check,2024-05-23,Dilshan Madugalle,Pending
163,Initial Review,2025-05-07,Nalaka Wijesinghe,Approved
163,Final Approval,2025-07-04,Kapila Xavier,Pending
163,Visa Processing,2025-07-27,Madhavi Ponnambalam,Rejected
164,Interview,2025-06-27,Kasun Ratnayake,Approved
165,Final Approval,2024-10-06,Ayesha Quintus,Pending
166,Final Approval,2025-06-11,Madushika Lokuhetti,Hold
167,Initial Review,2025-01-03,Sanjaya Wijesinghe,Hold
168,Initial Review,2024-10-10,Oshini Yapa,Rejected
169,Initial Review,2025-07-20,Nadeesha Vithanage,Approved
169,Final Approval,2025-08-13,Chandana Zuhair,Rejected
169,Interview,2025-06-29,Lalith Bandara,Hold
170,Interview,2024-08-01,Sana Ranaweera,Rejected
170,Initial Review,2025-07-12,Saisha Dias,Pending
170,Visa Processing,2024-10-30,Kanchana Pathirana,Pending
171,Final Approval,2024-11-17,Thilini Samarasinghe,Hold
171,Visa Processing,2025-05-14,Anjali Dias,Pending
172,Initial Review,2025-08-12,Wathsala Nanayakkara,Hold
172,Interview,2025-06-04,Jayantha Nanayakkara,Approved
173,Interview,2024-05-04,Ruwan Wickramasinghe,Rejected
174,Final Approval,2024-11-28,Nuwan Udayanga,Approved
174,Initial Review,2025-04-26,Buddhini Chandrasekara,Rejected
174,Interview,2025-08-09,Anura Basnayake,Approved
175,Final Approval,2024-10-05,Mahesh Udayanga,Approved
175,Interview,2025-01-14,Eshini Nadarajah,Pending
175,Visa Processing,2025-04-10,Duminda Karunaratne,Hold
176,Interview,2025-07-29,Sampath Jaleel,Rejected
176,Visa Processing,2025-07-19,Mohamed de Silva,Approved
177,Final Approval,2025-05-18,Shashika Uthayakumar,Hold
177,Interview,2024-11-04,Rohan Vithanage,Hold
177,Medical Check,2025-07-14,Sana Rizvi,Rejected
178,Medical Check,2025-04-07,Ruwan Lokuhetti,Rejected
178,Final Approval,2025-07-26,Saman Thangavelu,Pending
178,Interview,2025-04-11,Wasanthi Ibrahim,Rejected
179,Initial Review,2024-12-05,Duminda Fonseka,Approved
179,Final Approval,2024-12-26,Prabha Galappaththi,Rejected
180,Interview,2025-08-03,Mohamed Gunawardena,Rejected
181,Medical Check,2025-04-30,Inoka Hettiarachchi,Approved
181,Final Approval,2024-01-20,Nishani Lokuhetti,Pending
181,Initial Review,2025-01-14,Sanduni Vithanage,Hold
182,Final Approval,2023-12-30,Udeshika Gunawardena,Rejected
183,Interview,2025-07-21,Eshini Yapa,Hold
183,Medical Check,2025-08-17,Thushari Lokuhetti,Approved
183,Visa Processing,2025-08-07,Zameer Fernando,Approved
184,Visa Processing,2025-07-03,Sarath Zuhair,Hold
184,Initial Review,2025-07-18,Tharaka Yogarajah,Pending
185,Final Approval,2025-08-17,Saman Karunaratne,Hold
185,Visa Processing,2025-08-09,Yashodha Sivapragasam,Rejected
186,Interview,2025-04-09,Queenie Samarasinghe,Pending
187,Medical Check,2024-10-31,Pasindu Zoysa,Rejected
187,Visa Processing,2025-06-12,Dinesh Herath,Approved
188,Medical Check,2025-04-01,Ishani Kulathunga,Hold
188,Visa Processing,2025-05-02,Nimal Gunawardena,Rejected
188,Final Approval,2025-02-17,Pradeep Cooray,Rejected
189,Interview,2025-05-18,Deepthi Hettiarachchi,Rejected
189,Final Approval,2024-07-13,Indrani Madugalle,Approved
189,Initial Review,2024-05-21,Chathurika Weerakoon,Approved
190,Final Approval,2024-02-11,Achini Rizvi,Rejected
190,Initial Review,2024-09-09,Madushika Liyanage,Approved
191,Final Approval,2025-04-21,Queenie Jayaweera,Hold
192,Interview,2025-08-03,Janaka Dias,Approved
192,Visa Processing,2025-06-08,Kalani Zoysa,Pending
192,Final Approval,2025-06-07,Nishani Nadarajah,Hold
193,Initial Review,2025-06-02,Gamini Edirisinghe,Rejected
194,Visa Processing,2025-06-26,Tharushi Ekanayake,Rejected
194,Interview,2025-06-14,Upul Ibrahim,Approved
195,Initial Review,2025-05-25,Shashika Rajapaksa,Pending
195,Visa Processing,2025-08-19,Inoka Kumara,Pending
196,Final Approval,2024-04-11,Lakmini de Silva,Hold
196,Interview,2024-08-14,Buddhini Yogarajah,Hold
196,Visa Processing,2025-03-27,Oshadi Vigneswaran,Hold
197,Medical Check,2025-06-01,Dinesh Ponnambalam,Pending
197,Interview,2024-12-07,Achini Bandara,Hold
198,Medical Check,2025-03-22,Tharaka Herath,Rejected
199,Interview,2025-01-19,Gayani Senanayake,Approved
199,Medical Check,2024-05-11,Lakmini Bandara,Pending
200,Medical Check,2024-05-16,Ibrahim Thilakarathna,Hold
200,Initial Review,2024-10-31,Duminda Alwis,Rejected
200,Interview,2025-05-10,Kapila Zuhair,Hold
201,Initial Review,2025-08-19,Upeksha Pathirana,Rejected
201,Medical Check,2025-05-22,Jayani Gamage,Hold
201,Interview,2025-04-23,Buddhini Pathirana,Rejected
202,Final Approval,2025-05-13,Duminda Dharmasena,Approved
203,Visa Processing,2025-01-03,Adeesha Xavier,Approved
203,Interview,2025-02-15,Upeksha Fonseka,Approved
204,Final Approval,2024-12-24,Shey Weerasinghe,Rejected
204,Initial Review,2024-09-27,Rohan Basnayake,Approved
205,Final Approval,2025-07-12,Queenie Obeysekera,Hold
205,Interview,2025-07-19,Abhaya Ranaweera,Approved
206,Interview,2025-07-28,Chaminda Yogarajah,Pending
206,Final Approval,2025-04-04,Inoka Jayaweera,Pending
206,Initial Review,2025-07-28,Nuwan Pathirana,Approved
207,Initial Review,2025-04-22,Kamal Jaleel,Hold
207,Visa Processing,2024-08-26,Harsha Uthayakumar,Hold
207,Final Approval,2024-08-14,Dayan de Silva,Pending
208,Interview,2024-09-07,Shey Jayawardena,Rejected
208,Medical Check,2024-06-11,Indrani Kumara,Approved
208,Final Approval,2025-07-28,Oshini Abeysinghe,Pending
209,Visa Processing,2024-10-14,Wasantha Wickramasinghe,Pending
209,Medical Check,2024-10-18,Buddhika Thilakarathna,Hold
209,Final Approval,2024-07-22,Inoka Ratnayake,Approved
210,Visa Processing,2025-08-08,Kamal Liyanage,Pending
210,Interview,2025-08-16,Harshani Peiris,Approved
210,Final Approval,2025-08-15,Bhagya Weerasinghe,Rejected
211,Medical Check,2024-06-25,Gamini Wickramasinghe,Rejected
212,Initial Review,2025-07-28,Oshadi Zuhair,Hold
212,Medical Check,2024-09-08,Kalani Zuhair,Pending
212,Final Approval,2024-07-19,Fazil Hewage,Pending
213,Initial Review,2025-05-01,Vimukthi Guneratne,Pending
213,Interview,2025-05-20,Hansika Ekanayake,Pending
213,Medical Check,2025-04-15,Upul Rajapaksa,Rejected
214,Final Approval,2025-06-26,Adeesha Yapa,Hold
214,Initial Review,2025-05-24,Asanga Jaleel,Pending
215,Visa Processing,2025-07-17,Chandrika Hewage,Hold
215,Initial Review,2025-07-13,Hansika Udayanga,Pending
215,Interview,2024-10-08,Rashmi Bandara,Pending
216,Final Approval,2025-08-01,Chandana Jayaweera,Hold
217,Initial Review,2024-12-04,Upeksha Weerasinghe,Pending
218,Initial Review,2025-02-05,Bhagya Ilangakoon,Approved
218,Visa Processing,2024-12-05,Lasantha Edirisinghe,Hold
218,Medical Check,2025-02-14,Gamini Alwis,Hold
219,Visa Processing,2024-10-30,Deepthi Gunawardena,Hold
219,Initial Review,2024-08-12,Yohan Kumara,Approved
220,Final Approval,2025-04-19,Madushika Ponnambalam,Approved
221,Visa Processing,2025-07-23,Yasara Liyanage,Hold
221,Initial Review,2025-07-26,Abhaya Amarasinghe,Pending
222,Visa Processing,2025-08-10,Nethmi Wijesinghe,Approved
222,Initial Review,2025-06-19,Eshini Weerakoon,Pending
222,Interview,2025-06-10,Wasanthi Pathirana,Pending
223,Medical Check,2025-06-23,Ganga Samarasinghe,Approved
223,Final Approval,2024-06-08,Isuru Dias,Approved
224,Initial Review,2025-02-13,Chaminda Balasuriya,Approved
225,Medical Check,2025-08-19,Yasith Obeysekera,Approved
226,Medical Check,2025-05-25,Nadeesha Jaleel,Hold
227,Visa Processing,2025-03-10,Anura Vithanage,Pending
228,Interview,2025-07-22,Suranga Karunaratne,Pending
228,Final Approval,2025-05-24,Abhaya Hettiarachchi,Pending
228,Initial Review,2025-08-01,Bhagya Thangavelu,Approved
229,Visa Processing,2025-05-19,Bhagya Perera,Approved
229,Medical Check,2025-03-24,Adeesha Liyanage,Pending
230,Initial Review,2024-06-12,Madushika Jaleel,Rejected
230,Interview,2025-08-03,Ranjith Madugalle,Rejected
231,Final Approval,2025-07-27,Isuri Lokuhetti,Hold
232,Final Approval,2025-02-05,Rohan Thangavelu,Rejected
233,Final Approval,2025-05-02,Menaka Weerasinghe,Pending
233,Medical Check,2025-01-10,Nimal Dias,Approved
234,Visa Processing,2025-05-30,Harsha Dissanayake,Pending
234,Medical Check,2025-07-16,Sanduni Samarasinghe,Rejected
