WorkflowID,JobID,StageName,ActionTaken,Remarks,ReviewedBy,ReviewedDate
58,30,SLBFE Review,Approved,Probation period,Lisa Hunter,2024-11-17
59,30,Final Approval,Rejected,Probation period,Jonathan Brown,2024-12-05
60,31,Initial Review,Rejected,Standard contract,Jason Gibson,2024-06-21
61,32,Initial Review,Approved,,Andrew Rojas,2025-04-06
62,32,SLBFE Review,Rejected,Standard contract,Sabrina Welch,2025-05-08
63,33,Initial Review,Rejected,Requires visa,Jamie Hayes,2025-08-20
64,33,SLBFE Review,Pending,Probation period,Cynthia Alvarez,2025-06-07
65,34,Embassy Review,Approved,Probation period,Timothy Melton,2025-04-24
66,35,SLBFE Review,Approved,Standard contract,Darryl Morgan,2025-06-26
67,35,Initial Review,Rejected,,Edwin Gomez,2025-05-24
68,36,Initial Review,Pending,,Martha Hicks,2025-06-05
69,37,Final Approval,Rejected,Training provided,Jasmine Walker,2024-12-14
70,37,SLBFE Review,Pending,Training provided,Rodney Montoya,2025-02-05
71,38,Initial Review,Approved,Training provided,Lori Hurst,2025-07-21
72,38,Final Approval,Approved,Standard contract,Adam Martinez,2025-01-31
73,38,Embassy Review,Pending,Requires visa,Tiffany Page,2025-05-29
74,39,Initial Review,Approved,Training provided,Christina Griffin,2024-01-25
75,39,SLBFE Review,Approved,Training provided,Cynthia Booth,2024-05-28
76,40,Initial Review,Pending,Training provided,Thomas Hernandez,2025-08-15
77,40,Embassy Review,Approved,Training provided,Stephen Allen,2025-03-27
78,41,SLBFE Review,Approved,,Patrick Garcia,2023-12-27
79,41,Initial Review,Rejected,Standard contract,Frank Forbes,2024-09-23
80,42,Embassy Review,Approved,Requires visa,Susan Hodges,2024-09-15
81,42,Initial Review,Pending,Probation period,Kelsey Jacobs,2025-02-16
82,43,Embassy Review,Rejected,Standard contract,Mr. Kyle Johnson,2024-11-28
83,44,Embassy Review,Rejected,Training provided,Paula Mcconnell,2025-08-01
84,44,SLBFE Review,Rejected,Standard contract,Jack Smith,2025-01-15
85,44,Initial Review,Approved,Probation period,Larry Hernandez,2025-05-24
86,45,Final Approval,Approved,Training provided,Joseph Barnes,2025-02-15
87,45,SLBFE Review,Pending,Probation period,Sharon Stone,2024-06-28
88,45,Initial Review,Rejected,Standard contract,Amanda Thompson,2024-10-07
89,46,Initial Review,Pending,Training provided,Stephanie Mejia,2024-11-21
90,46,SLBFE Review,Approved,Probation period,Keith Moore,2024-03-31
91,46,Embassy Review,Approved,Probation period,Timothy Garcia,2025-07-23
92,47,Initial Review,Approved,Probation period,Aaron Espinoza,2025-03-30
93,47,Final Approval,Approved,Training provided,Vanessa Olsen,2025-01-08
94,48,SLBFE Review,Pending,Training provided,Laura Stevenson,2024-04-29
95,49,Embassy Review,Approved,,Jessica Andrade,2025-07-17
96,49,SLBFE Review,Approved,Standard contract,Roger Hayes,2024-11-13
97,50,SLBFE Review,Approved,Requires visa,Megan Scott,2025-05-04
98,51,Initial Review,Pending,,Samuel Russell,2025-03-12
99,51,Final Approval,Rejected,,Michele Skinner,2025-01-08
100,52,Initial Review,Rejected,Requires visa,Joyce Smith,2024-08-12
101,53,Initial Review,Pending,Probation period,Mr. David Banks,2025-05-05
102,53,Final Approval,Pending,Standard contract,Jesse Alexander,2025-06-09
103,53,SLBFE Review,Pending,Training provided,Chase Thomas,2024-10-18
104,54,Initial Review,Rejected,Training provided,Richard Hart,2024-07-16
105,54,SLBFE Review,Approved,Probation period,Jeremy Ellis,2024-09-07
106,55,SLBFE Review,Rejected,Probation period,David Bridges,2023-12-19
107,55,Initial Review,Rejected,,Stephanie Berry,2024-09-15
108,56,Embassy Review,Rejected,Requires visa,Hannah Hamilton,2025-06-06
109,57,Embassy Review,Rejected,Training provided,Betty Hanson,2024-09-03
110,58,Initial Review,Pending,Requires visa,Jennifer Smith,2024-10-11
111,58,SLBFE Review,Approved,Training provided,Kaitlin Johnson,2025-06-19
112,58,Embassy Review,Approved,Probation period,Rachel Mclaughlin,2025-01-23
113,59,SLBFE Review,Approved,Training provided,John Cummings,2025-01-22
114,59,Final Approval,Pending,Standard contract,Jeffrey Gonzalez,2025-06-03
115,60,Final Approval,Approved,Training provided,Eric Hines,2024-11-26
116,60,SLBFE Review,Approved,Training provided,Karen Reyes,2025-07-08
117,60,Embassy Review,Pending,,Charles Harris,2024-07-24
118,61,Final Approval,Approved,Training provided,Mike Erickson,2024-05-17
119,61,Embassy Review,Rejected,Training provided,Laura Vargas,2025-07-24
120,61,Initial Review,Approved,Standard contract,Tyler Kemp,2025-06-11
121,62,SLBFE Review,Approved,Training provided,Mathew Mccormick,2025-08-01
122,62,Initial Review,Pending,,Luis Anderson,2025-08-23
123,62,Embassy Review,Pending,Probation period,Russell Mccarthy,2025-08-19
124,63,Embassy Review,Rejected,Standard contract,Joseph Larson,2024-02-04
125,63,Initial Review,Approved,,Andrea Fisher,2024-06-21
126,63,SLBFE Review,Approved,Probation period,Michael Perez,2024-09-27
127,64,Final Approval,Pending,Training provided,Jamie Thompson DVM,2025-07-25
128,64,SLBFE Review,Pending,Requires visa,Shawn Guerra,2025-03-11
129,64,Initial Review,Rejected,Standard contract,Craig Phillips,2025-04-04
130,65,Embassy Review,Approved,Requires visa,Angela Cervantes,2025-06-18
131,65,Initial Review,Approved,Standard contract,Edward Cooper,2025-06-20
132,66,Initial Review,Pending,,Kimberly Shelton,2025-06-15
133,66,Embassy Review,Approved,Standard contract,Mary Hughes,2024-09-28
134,67,SLBFE Review,Rejected,,Matthew Best,2024-09-29
135,67,Embassy Review,Pending,,Brenda Jenkins,2025-07-20
136,67,Initial Review,Rejected,Probation period,Dr. Christopher Doyle,2025-08-17
137,68,SLBFE Review,Rejected,Probation period,Joseph Scott,2025-02-05
138,69,Embassy Review,Pending,,Margaret Rosales,2025-01-21
139,70,SLBFE Review,Pending,Training provided,Alexis Fleming,2025-03-04
140,70,Initial Review,Rejected,Training provided,Natasha Cameron,2025-01-29
141,70,Final Approval,Rejected,Probation period,John Craig,2025-01-18
142,71,Embassy Review,Approved,Requires visa,Amy Mitchell,2025-04-28
143,72,Embassy Review,Rejected,,Brandon Sanders,2025-05-23
144,72,SLBFE Review,Approved,Training provided,Jamie Garcia,2024-11-15
145,72,Initial Review,Pending,,Shari Smith,2025-07-22
146,73,Embassy Review,Rejected,Requires visa,Bethany Stewart,2025-06-07
147,73,Final Approval,Approved,,Sandra Moreno,2025-07-25
148,73,Initial Review,Approved,Requires visa,Pamela Montoya,2025-06-08
149,74,Final Approval,Rejected,,Claudia Luna,2025-02-24
150,74,SLBFE Review,Rejected,Standard contract,Andrea Guzman,2025-04-21
151,75,Embassy Review,Approved,Standard contract,Michelle Sims,2025-04-09
152,76,SLBFE Review,Approved,Requires visa,William Steele,2023-12-10
153,76,Final Approval,Pending,Training provided,Rachel Estrada,2024-08-14
154,77,SLBFE Review,Pending,Standard contract,Mary Raymond,2024-08-15
155,77,Initial Review,Pending,,Christine Carey,2025-05-09
156,78,Embassy Review,Approved,,Katherine Robinson,2024-11-22
157,78,SLBFE Review,Approved,Training provided,Keith Austin,2024-11-11
158,79,SLBFE Review,Rejected,Standard contract,Matthew English,2024-12-22
159,79,Embassy Review,Pending,,Christopher Curry,2024-04-21
160,79,Final Approval,Rejected,Probation period,Julie Sandoval,2024-10-16
161,80,Final Approval,Rejected,Training provided,Andrea Evans,2023-12-06
162,80,Embassy Review,Pending,Requires visa,Antonio Conley,2024-04-01
163,80,SLBFE Review,Approved,Training provided,David Decker,2024-10-27
164,81,Final Approval,Approved,Standard contract,Lindsay Cole,2023-11-04
165,81,Embassy Review,Approved,Standard contract,Mrs. Sara Gibson,2024-04-02
166,82,Initial Review,Rejected,Standard contract,Mary Wu,2025-08-25
167,83,Initial Review,Rejected,Standard contract,Emily Nguyen,2025-08-18
168,84,SLBFE Review,Pending,,Becky Cross,2025-08-11
169,85,Initial Review,Pending,Probation period,Amber Murphy,2024-04-20
170,86,Embassy Review,Pending,Requires visa,Vincent Whitaker,2025-03-22
171,87,Initial Review,Approved,Training provided,Carolyn Stephens,2025-04-25
172,87,Embassy Review,Rejected,Requires visa,Brian Brown,2024-04-07
173,87,SLBFE Review,Pending,Training provided,April Perkins,2025-05-28
174,88,Embassy Review,Pending,Training provided,Jessica Nguyen,2024-12-27
175,88,Final Approval,Pending,,Mrs. Diane Atkins,2025-02-02
176,89,Initial Review,Pending,Standard contract,William Williams II,2024-08-04
177,89,Final Approval,Rejected,Requires visa,Heidi Knox,2025-07-28
178,89,Embassy Review,Pending,Standard contract,Jennifer Carter,2023-10-05
179,90,Final Approval,Pending,Probation period,Christopher Price,2025-04-19
180,90,Initial Review,Rejected,Training provided,Martin Hubbard,2025-08-05
181,90,SLBFE Review,Rejected,Probation period,Joy Perez,2025-06-21
182,91,Final Approval,Rejected,,Norma Spencer,2024-04-17
183,92,SLBFE Review,Approved,,Mason Hays,2024-12-28
184,93,Initial Review,Pending,,Robert Meyers,2025-01-05
185,93,SLBFE Review,Rejected,Training provided,Brittney Ford,2025-02-15
186,94,Embassy Review,Pending,,Heather Griffin,2024-08-26
187,94,Initial Review,Pending,,Kyle Gomez,2024-08-04
188,94,SLBFE Review,Approved,Requires visa,Michael Montoya,2024-02-04
189,95,Embassy Review,Approved,Probation period,James Long,2025-05-15
190,95,Final Approval,Approved,Probation period,Jorge Harris,2024-04-15
191,95,Initial Review,Approved,Training provided,Cindy Dunn,2025-04-13
192,96,Initial Review,Pending,Requires visa,Gregory Pena,2025-08-24
193,96,Embassy Review,Pending,,Dave Silva,2025-08-22
194,97,Embassy Review,Rejected,Standard contract,Jerry Johnson,2025-07-29
195,97,Final Approval,Approved,Probation period,Gwendolyn Elliott,2025-07-13
196,97,SLBFE Review,Rejected,Probation period,William Reeves,2025-07-14
197,98,Initial Review,Pending,Standard contract,Patricia Hernandez,2025-05-01
198,99,Final Approval,Pending,Training provided,Jennifer Armstrong,2024-05-20
199,99,SLBFE Review,Approved,,Erin Ferrell,2024-09-29
200,100,SLBFE Review,Pending,Probation period,Kenneth Mendez,2024-12-29
201,100,Embassy Review,Pending,Standard contract,Daniel Larsen,2024-12-09
202,101,Final Approval,Approved,,Xavier Nguyen,2023-12-29
203,101,Embassy Review,Pending,Training provided,John Bishop,2025-05-21
204,102,Final Approval,Approved,Requires visa,James Carey,2024-09-06
205,103,Final Approval,Approved,Requires visa,Brian Perez,2025-04-13
206,104,Embassy Review,Approved,,Hannah Joseph,2024-07-20
207,104,SLBFE Review,Approved,Probation period,Laura Hampton,2024-08-16
208,104,Initial Review,Pending,,Karen Acosta,2024-07-16
209,105,SLBFE Review,Rejected,Standard contract,Yvonne Moore,2024-06-19
210,105,Final Approval,Rejected,Probation period,Julie Johnson,2025-05-28
211,105,Initial Review,Pending,,Gene Hunt,2025-08-09
212,106,Final Approval,Approved,Probation period,Miranda Smith,2024-11-19
213,106,Initial Review,Pending,Training provided,Judy Palmer,2025-04-14
214,107,Embassy Review,Pending,,Joseph Johnson,2025-03-30
215,107,SLBFE Review,Pending,,Maria Roberts,2024-12-30
216,108,Final Approval,Approved,Training provided,Justin Barron,2024-12-28
217,109,SLBFE Review,Rejected,Probation period,Frank Brown,2025-08-26
218,109,Initial Review,Approved,Probation period,April Collins,2025-08-15
219,109,Embassy Review,Approved,Training provided,Hannah Bryant,2025-08-17
220,110,SLBFE Review,Rejected,Training provided,Cheryl Peterson,2025-06-21
221,111,Final Approval,Approved,Requires visa,Jenna Cox DDS,2024-04-11
222,112,Initial Review,Pending,Training provided,Kelly Bryant,2025-08-08
223,112,Embassy Review,Rejected,Requires visa,Michael Allen,2025-08-16
224,113,Embassy Review,Rejected,Training provided,Sabrina Fernandez,2025-02-13
225,114,Initial Review,Pending,Training provided,Carolyn Wilson,2025-08-17
226,115,Initial Review,Rejected,Standard contract,Justin Elliott,2025-01-24
227,116,Initial Review,Rejected,Probation period,Sharon Hall,2025-02-14
228,116,SLBFE Review,Pending,,James Franco,2025-07-03
229,117,Initial Review,Pending,Probation period,Hailey Pace,2025-01-30
230,117,Embassy Review,Approved,,Scott Fleming,2025-03-02
231,117,Final Approval,Pending,Requires visa,Ms. Paula Miller MD,2025-08-28
232,118,Final Approval,Rejected,Standard contract,Michael Jackson,2025-08-14
233,118,SLBFE Review,Approved,Training provided,Frank Madden,2025-07-02
234,119,Final Approval,Pending,Standard contract,Alexis Trujillo DVM,2025-03-30
235,120,SLBFE Review,Approved,Probation period,Jeffrey Lewis,2025-05-14
236,120,Final Approval,Rejected,Standard contract,Benjamin Daugherty,2025-05-25
237,121,SLBFE Review,Pending,,Latoya Price,2024-11-05
238,121,Final Approval,Rejected,Probation period,Andrew Smith,2025-02-25
239,122,SLBFE Review,Pending,,Kyle Marshall,2024-07-18
240,122,Embassy Review,Rejected,Standard contract,Steven Ellis,2025-07-30
241,122,Initial Review,Rejected,Training provided,Joseph Murphy,2024-09-06
242,123,Initial Review,Pending,Probation period,Gregory Pacheco,2025-06-26
243,123,Final Approval,Pending,,Steve Ramirez,2025-07-04
244,124,Embassy Review,Rejected,Standard contract,David Williams,2025-06-27
245,124,Final Approval,Approved,Standard contract,Jason Marsh,2025-05-16
246,124,Initial Review,Approved,Requires visa,Daniel Brown,2025-05-25
247,125,Initial Review,Pending,Probation period,Sarah Smith,2025-04-02
248,125,Final Approval,Rejected,,Penny Kelley,2025-07-20
249,125,Embassy Review,Rejected,Requires visa,Martin Allen,2025-05-28
250,126,Final Approval,Pending,,Adam Martinez,2025-07-29
251,126,SLBFE Review,Rejected,Probation period,Scott Chavez,2025-06-30
252,127,Embassy Review,Pending,Training provided,Michael Baker,2024-12-08
253,127,Initial Review,Approved,,Tiffany Rich,2025-03-03
254,128,Embassy Review,Approved,,Sheryl Riley,2024-03-29
255,128,SLBFE Review,Approved,Standard contract,Kelly Alvarez,2024-04-25
256,129,SLBFE Review,Rejected,Probation period,Heather Porter,2025-04-15
257,130,Embassy Review,Pending,Probation period,Thomas Howell,2025-05-21
258,131,Initial Review,Rejected,Training provided,Kathryn Rogers,2025-03-02
259,131,Embassy Review,Approved,Probation period,Randy Reed MD,2024-10-15
260,132,SLBFE Review,Pending,,Ryan Cervantes,2024-08-03
261,132,Initial Review,Rejected,Training provided,Dr. Lisa Walker,2024-09-13
262,133,Final Approval,Approved,Probation period,Jessica Mays,2024-01-14
263,133,Embassy Review,Rejected,Probation period,Nicholas King,2025-03-26
264,134,Embassy Review,Approved,Standard contract,Shannon Rodgers,2024-05-16
265,134,Final Approval,Approved,Training provided,Mark Dominguez,2024-11-02
266,135,Embassy Review,Rejected,Probation period,Kristine Clark,2024-01-02
267,136,Initial Review,Rejected,Training provided,Donna Pacheco,2025-08-21
268,136,Final Approval,Rejected,Probation period,Dakota Wheeler,2025-02-17
269,137,Initial Review,Pending,Probation period,Daniel Jordan,2025-06-22
270,138,Embassy Review,Pending,Training provided,John Rios,2024-04-15
271,138,Final Approval,Rejected,Requires visa,Amanda Becker,2024-11-30
272,139,Initial Review,Rejected,Standard contract,Lance Chang,2024-02-25
273,139,SLBFE Review,Approved,,Marvin Anderson,2024-03-06
274,139,Embassy Review,Pending,,Kimberly Edwards,2024-09-11
275,140,SLBFE Review,Pending,Training provided,Mark Ramirez,2024-10-08
276,141,Initial Review,Pending,,Laura Lang,2025-08-15
277,141,Embassy Review,Approved,,Anne Barrett,2025-03-03
278,141,Final Approval,Pending,Requires visa,Mr. Eric Gardner MD,2025-02-15
279,142,Final Approval,Approved,,Caitlin Smith,2025-08-09
280,142,SLBFE Review,Pending,Training provided,Vanessa Skinner,2025-08-07
281,143,Embassy Review,Rejected,Training provided,Jennifer White,2025-07-12
282,144,Initial Review,Pending,Standard contract,Matthew Willis,2025-05-22
283,145,Final Approval,Approved,,Heather Cunningham,2025-01-20
284,145,Initial Review,Approved,Probation period,David Hoover,2025-01-22
285,146,Embassy Review,Approved,Probation period,Brian Jackson,2025-06-21
286,147,SLBFE Review,Pending,,Tony Carey,2025-06-12
287,147,Final Approval,Rejected,Standard contract,Blake Monroe,2025-06-26
288,147,Embassy Review,Rejected,Requires visa,Tiffany Cox,2025-04-21
289,148,SLBFE Review,Rejected,Standard contract,Connie Parsons,2025-07-06
290,149,Initial Review,Rejected,Requires visa,Kim Duncan,2025-03-22
291,149,SLBFE Review,Approved,Standard contract,Teresa Lee,2025-07-16
292,150,Embassy Review,Approved,Requires visa,Michael Scott,2025-01-01
293,150,Final Approval,Pending,Standard contract,Riley Davis,2023-11-23
294,150,Initial Review,Pending,,James Stanley,2024-08-17
295,151,Embassy Review,Pending,,Douglas Green,2025-03-15
296,151,Initial Review,Rejected,Probation period,Kathleen Jones,2025-02-10
297,152,SLBFE Review,Approved,Probation period,Justin White,2025-03-11
298,153,Final Approval,Pending,Requires visa,Michelle King,2024-09-28
299,153,Initial Review,Approved,,Jonathan Williams,2025-06-02
300,154,Final Approval,Approved,Standard contract,Samantha Kirby,2024-11-28
301,154,Initial Review,Pending,Requires visa,Gloria Newman PhD,2025-08-08
302,154,Embassy Review,Approved,Requires visa,Phillip Herrera,2024-12-21
303,155,Initial Review,Approved,Probation period,Amanda Stewart,2024-10-31
304,155,SLBFE Review,Approved,Standard contract,Victoria Espinoza,2025-06-26
305,156,Embassy Review,Approved,Requires visa,Randy Perry,2024-08-02
306,157,Initial Review,Approved,Training provided,Michael Richardson,2025-01-02
307,157,SLBFE Review,Pending,Standard contract,Timothy Santos,2025-07-30
308,157,Final Approval,Approved,Requires visa,Michelle Benjamin,2025-06-19
309,158,Initial Review,Approved,Standard contract,Nicholas Jensen,2025-02-08
310,158,SLBFE Review,Rejected,Training provided,Michael Walls,2025-08-25
311,158,Embassy Review,Rejected,Standard contract,Alicia Nelson,2025-03-28
312,159,SLBFE Review,Pending,,Noah Sandoval,2025-06-11
313,160,Embassy Review,Pending,,Michael Gonzalez,2025-08-06
314,160,Final Approval,Rejected,Training provided,Timothy Harris,2025-08-19
315,160,Initial Review,Approved,Training provided,Gary Mora,2025-08-28
316,161,Embassy Review,Approved,,Rebekah James,2024-06-10
317,161,Final Approval,Approved,Standard contract,Alejandra Baxter,2025-04-20
318,162,Embassy Review,Approved,,Kimberly Santos,2024-04-18
319,163,Initial Review,Pending,,Mr. Michael Nguyen MD,2025-06-06
320,163,Embassy Review,Approved,Probation period,Karen Bell,2025-04-14
321,163,Final Approval,Rejected,Probation period,Joseph Ross,2025-03-30
322,164,Initial Review,Pending,Requires visa,Joshua Myers,2025-07-29
323,164,Embassy Review,Rejected,Training provided,Tyler Shepherd,2025-08-16
324,164,Final Approval,Approved,,Emily Moody,2025-08-20
325,165,SLBFE Review,Approved,,Justin Stewart,2025-08-07
326,165,Final Approval,Rejected,Standard contract,Alan Hamilton,2025-08-27
327,166,Final Approval,Pending,Requires visa,Richard Donovan,2025-05-04
328,166,SLBFE Review,Pending,Probation period,Heather Thompson,2025-01-14
329,166,Embassy Review,Pending,Standard contract,Ricky Mitchell,2025-07-17
330,167,SLBFE Review,Rejected,,Maria Johnson,2025-06-24
331,167,Embassy Review,Pending,Probation period,Angela Duncan,2025-07-23
332,167,Final Approval,Approved,Standard contract,Norman Graves,2025-08-26
333,168,Final Approval,Rejected,Standard contract,George Riley,2025-04-09
334,169,Embassy Review,Approved,Standard contract,Wanda Cortez,2025-01-31
335,169,Initial Review,Approved,,Robert Norman,2024-05-12
336,169,Final Approval,Pending,Requires visa,Ricky Hill,2024-10-16
337,170,SLBFE Review,Pending,Requires visa,Samuel Hanson,2025-06-18
338,170,Final Approval,Approved,Standard contract,Marcus Morgan,2025-08-04
339,170,Embassy Review,Approved,Probation period,Cynthia Bradley,2025-07-10
340,171,Initial Review,Pending,Requires visa,Elizabeth Lopez,2025-08-02
341,171,SLBFE Review,Rejected,Training provided,Troy Cain,2025-05-29
342,171,Final Approval,Pending,Standard contract,Rhonda Pierce,2025-07-05
343,172,Embassy Review,Pending,Standard contract,Douglas Flores,2025-07-16
344,173,Final Approval,Pending,,Alicia Contreras,2025-01-30
345,174,SLBFE Review,Pending,Requires visa,Christopher Campbell,2025-07-11
346,175,Final Approval,Rejected,Requires visa,Christopher Brown,2024-10-19
347,175,SLBFE Review,Pending,Standard contract,Devin Lopez,2024-03-22
348,175,Initial Review,Pending,Requires visa,Jessica Malone,2023-10-16
349,176,Embassy Review,Approved,Probation period,Derek Rodriguez,2025-08-28
350,177,Embassy Review,Pending,Probation period,Margaret Bender,2024-12-27
351,177,Final Approval,Approved,Probation period,Caitlyn Cook,2025-05-08
352,178,Initial Review,Rejected,Requires visa,Travis Meyer,2025-05-14
353,178,Final Approval,Approved,Standard contract,Isaac Peterson,2025-07-14
354,179,SLBFE Review,Approved,Probation period,Stacey Adams,2024-11-05
355,179,Final Approval,Approved,Standard contract,Kerri Williams,2024-05-31
356,179,Initial Review,Approved,,Austin Duran,2024-12-28
357,180,Embassy Review,Rejected,,Bryan Rivera,2025-08-24
358,180,SLBFE Review,Pending,,Tyler Fleming,2025-07-31
359,181,Embassy Review,Pending,Probation period,Robert Reed,2025-07-16
360,181,Final Approval,Rejected,Standard contract,Carol Wilson,2024-11-10
361,181,Initial Review,Approved,Probation period,Charles Alvarez,2025-01-17
362,182,SLBFE Review,Rejected,Standard contract,Yolanda Snyder,2025-05-16
363,182,Initial Review,Approved,Training provided,Marie Mckay,2025-01-07
364,183,Initial Review,Approved,Requires visa,Brian Orr,2025-08-23
365,183,Embassy Review,Pending,Requires visa,Nicholas Nichols,2025-08-28
366,184,SLBFE Review,Rejected,Standard contract,Shelia Thomas,2025-08-26
367,184,Embassy Review,Rejected,Standard contract,Logan Smith,2025-08-26
368,184,Final Approval,Pending,Standard contract,Diane Lopez,2025-08-28
369,185,Initial Review,Rejected,Standard contract,Mary Marsh,2025-07-14
370,185,Final Approval,Rejected,,Kathryn Morris,2025-07-26
371,186,Embassy Review,Rejected,Training provided,Katie Blair,2025-05-15
372,186,Final Approval,Pending,,Nancy Dickson,2024-06-14
373,187,Final Approval,Approved,Standard contract,Michelle Sanchez,2024-04-29
374,187,SLBFE Review,Approved,Standard contract,Tyler Rodriguez,2024-08-15
375,187,Embassy Review,Approved,Standard contract,Jennifer Hood,2024-10-31
376,188,Final Approval,Pending,Standard contract,Briana Willis,2024-12-28
377,188,SLBFE Review,Pending,Training provided,Amanda Palmer,2025-06-01
378,188,Embassy Review,Approved,Training provided,Catherine Baker,2025-01-14
379,189,Embassy Review,Pending,,Tanya Peck,2025-04-04
380,190,Initial Review,Approved,Probation period,Tiffany Thomas,2024-03-16
381,191,SLBFE Review,Rejected,Requires visa,Nancy Rodriguez,2024-09-28
382,192,Embassy Review,Pending,Probation period,Michael Barrett,2025-07-25
383,193,Final Approval,Rejected,,Nicholas Harris,2024-07-31
384,194,Embassy Review,Approved,,Amy Cardenas,2024-05-25
385,194,Final Approval,Rejected,Standard contract,Sandra Shea,2025-02-22
386,194,Initial Review,Pending,Probation period,Cody Anderson,2024-05-01
387,195,Final Approval,Rejected,Standard contract,James Sawyer,2024-11-04
388,195,Initial Review,Rejected,Standard contract,Nathaniel Johnson,2025-01-04
389,195,Embassy Review,Approved,Training provided,Norman Smith,2024-05-09
390,196,SLBFE Review,Pending,Training provided,Tamara Nelson MD,2024-11-17
391,196,Embassy Review,Pending,,Summer Colon,2024-11-03
392,196,Final Approval,Rejected,Training provided,Lisa Adams,2025-07-08
393,197,Embassy Review,Approved,Probation period,Amy Jones,2025-02-11
394,197,Initial Review,Approved,Requires visa,Gregory Stewart,2024-12-02
395,198,Final Approval,Pending,Standard contract,Brittany Brown,2025-03-12
396,198,Embassy Review,Pending,Requires visa,Bryan Russell,2025-04-29
397,198,Initial Review,Rejected,Probation period,Leslie Gibbs,2025-02-23
398,199,Final Approval,Pending,Standard contract,Matthew Martin,2024-09-23
